IATA,Countries,Cities
ENH, China,Enshi
ENI, Filipinas,El Nido
ENU, Nigeria,Enugu
ENY, China,Yan an
EOH, Colombia,Medellin
EPR, Australia,Esperance
EQS, Argentina,Esquel
ERC, pavo,Erzincan
ERF, Alemania,Erfurt
ERG, Rusia,Yerbogachen
ERH, Marruecos,Er-Rachidia
ERI, Estados Unidos,Erie
ERL, China,Eren Hot
ERM, Brasil,Erechim
ERN, Brasil,Eirunepe
ERS, Namibia,Windhoek
ERZ, pavo,Erzurum
ESB, pavo,Ankara
ESC, Estados Unidos,Escanaba
ESD, Estados Unidos,Eastsound
ESL, Rusia,Elista
ESU, Marruecos,Esauira
ETL, Rusia,Svetlaya
ETM, Israel,Eilat
ETZ, Francia,Nancy
EUG, Estados Unidos,Eugene
EUN, Marruecos,Laayoune
EUQ, Filipinas,San Jose de Labangan
EUX, Caribe Paises Bajos,San Eustaquio
EVE, Noruega,Narvik
EVG, Suecia,Sveg
EVN, Armenia,Erevan
EVV, Estados Unidos,Evansville
EWB, Estados Unidos,New Bedford
EWE, Indonesia,
EWN, Estados Unidos,New Bern
EWR, Estados Unidos,Nueva York
EXI, Estados Unidos,Excursion Inlet
EXT, Reino Unido,Exeter
EYK, Rusia,Beloyarsky
EYP, Colombia,Yopal
EYW, Estados Unidos,Cayo Hueso
EZE, Argentina,Buenos Aires
EZS, pavo,Elazg
EZV, Rusia,Beriozovo
FAC, Polinesia frances,Faaite
FAE, Islas Faroe,Srvagur
FAH, Afganistan,Farah
FAI, Estados Unidos,Fairbanks
FAO, Portugal,Faro
FAR, Estados Unidos,Fargo
FAT, Estados Unidos,Fresno
FAV, Polinesia frances,Fakarava
FAY, Estados Unidos,Fayetteville
FBM, Republica Democratica del Congo,Lubumbashi
FCA, Estados Unidos,Kalispell
FCO, Italia,Roma
FDE, Noruega,Frde
FDF, Martinica,Fort-de-France
FDH, Alemania,Friedrichshafen
FEG, Uzbekistan,Fergana
FEN, Brasil,Fernando de Noronha
FEZ, Marruecos,Fez
FGU, Polinesia frances,Fangatau
FHZ, Polinesia frances,Fakahina
FIE, Reino Unido,Fair Isle
FIH, Republica Democratica del Congo,Kinshasa
FIZ, Australia,Fitzroy Crossing
FJR, Emiratos Arabes Unidos,Fujairah
FKB, Alemania,Karlsruhe
FKI, Republica Democratica del Congo,Kisangani
FKQ, Indonesia,Fakfak
FKS, Japon,Fukushima
FLA, Colombia,Florencia
FLG, Estados Unidos,Grand Canyon Village
FLL, Estados Unidos,Fort Lauderdale
FLN, Brasil,Florianopolis
FLO, Estados Unidos,Florence
FLR, Italia,Florencia
FLS, Australia,Isla Flinders
FLW, Portugal,Flores Island
FLZ, Indonesia,Sibolga
FMA, Argentina,Formosa
FMI, Republica Democratica del Congo,Kalemie
FMM, Alemania,Memmingen
FMO, Alemania,Munster
FNA, Sierra Leona,Freetown
FNC, Portugal,Madeira
FNI, Francia,Nimes
FNL, Estados Unidos,Fort Collins/Loveland
FNT, Estados Unidos,Flint
FOA, Reino Unido,Foula
FOC, China,Fuzhou
FOD, Estados Unidos,Fort Dodge
FOG, Italia,Foggia
FON, Costa Rica,La Fortuna
FOR, Brasil,Fortaleza
FPO, Bahamas,Freeport
FRA, Alemania,Francfort del Meno
FRD, Estados Unidos,Eastsound
FRE, Islas Salomon,Fera Island
FRL, Italia,Bolonia Forli
FRO, Noruega,Flor
FRS, Guatemala,Flores
FRU, Kirguizistan,Biskek
FRW, Botswana,Francistown
FSC, Francia,Figari
FSD, Estados Unidos,Sioux Falls
FSM, Estados Unidos,Fort Smith
FSP, San Pedro y Miquelon,San Pedro
FSZ, Japon,Shizuoka
FTA, Vanuatu,Futuna
FTE, Argentina,El Calafate
FTU, Madagascar,Tolanaro
FUE, Espana,Fuerteventura
FUG, China,Fuyang
FUJ, Japon,Fukue Island
FUK, Japon,Fukuoka
FUN, Tuvalu,Funafuti
FUO, China,Foshan
FUT, Wallis y Futuna,Futuna
FWA, Estados Unidos,Fort Wayne
FYJ, Heilongjiang,Fuyuan
FYN, China,Fuyun County
FYT, Chad,Faya-Largeau
FYU, Estados Unidos,Fort Yukon
GAE, Tunez,Gabes
GAJ, Japon,Yamagata
GAL, Estados Unidos,Galena
GAM, Estados Unidos,Gambell
GAN, Maldivas,Gan
GAU, India,Guwahati
GAY, India,Gaya
GBE, Botswana,Gaborone
GBI, India,Kalaburagi
GBT, Corri,Gorgan
GCC, Estados Unidos,Gillette
GCH, Corri,Gachsaran
GCI, Guernesey,Guernsey
GCK, Estados Unidos,Garden City
GCM, Islas Caiman,Grand Cayman
GCN, Estados Unidos,Grand Canyon Village
GCW, Arizona,Grand Canyon West
GDE, Etiopia,Gode
GDL, Mexico,Guadalajara
GDN, Polonia,Gdansk
GDQ, Etiopia,Gondar
GDT, Turks y Caicos,Cockburn Town
GDV, Estados Unidos,Glendive
GDX, Rusia,Magadan
GDZ, Rusia,Gelendzhik
GEA, Nueva Caledonia,Numea
GEG, Estados Unidos,Spokane
GEL, Brasil,Santo Angelo
GEM, Guinea Ecuatorial,Mongomo
GEO, Guayana,Georgetown
GER, Cuba,Nueva Gerona
GES, Filipinas,General Santos
GET, Australia,Geraldton
GEV, Suecia,Gallivare
GFF, Australia,Griffith
GFK, Estados Unidos,Grand Forks
GFN, Australia,Grafton
GGB, Brasil,Agua Boa
GGF, Brasil,Almeirim
GGG, Estados Unidos,Longview
GGR, Somalia,Garoe
GGT, Bahamas,George Town
GGW, Estados Unidos,Glasgow
GHA, Argelia,Gardaya
GHB, Bahamas,Governor's Harbour
GIB, Gibraltar,Gibraltar
GIC, Australia,Boigu Island
GIG, Brasil,Rio de Janeiro
GIL, Pakistan,Gilgit
GIS, Nueva Zelanda,Gisborne
GIT, Tanzania,Geita
GIU, Sri Lanka,Sigiriya
GIZ, Arabia Saudita,Jizan
GJA, Honduras,Guanaja
GJL, Argelia,Jijel
GJT, Estados Unidos,Grand Junction
GKA, Papua Nueva Guinea,Goroka
GLA, Reino Unido,Glasgow
GLF, Costa Rica,Canton de Golfito
GLH, Estados Unidos,Greenville
GLK, Somalia,Galcaio
GLN, Marruecos,Guelmim
GLT, Australia,Gladstone
GLU, Butan,Gelephu
GLV, Estados Unidos,Golovin
GMA, Republica Democratica del Congo,Gemena
GMB, Etiopia,Gambela
GME, Bielorrusia,Homiel
GMO, Nigeria,Gombe
GMP, Corea del Sur,Seul
GMQ, China,Prefectura autonoma tibetana de Golog
GMR, Polinesia frances,Totegegie
GMZ, Espana,San Sebastian de La Gomera
GNB, Francia,Grenoble
GND, Granada,St George's
GNJ, Azerbaiyan,
GNM, Brasil,Guanambi
GNS, Indonesia,Gunungsitoli
GNU, Estados Unidos,Goodnews Bay
GNV, Estados Unidos,Gainesville
GNY, pavo,Sanliurfa
GOA, Italia,Genova
GOB, Etiopia,Goba
GOH, Groenlandia,Nuuk
GOI, India,Goa
GOJ, Rusia,Nizhni Novgorod
GOM, Republica Democratica del Congo,Goma
GOP, India,Gorakhpur
GOQ, China,Golmud
GOT, Suecia,Gotemburgo
GOU, Camerun,Garua
GOV, Australia,Nhulunbuy
GPA, Grecia,Patras
GPB, Brasil,Guarapuava
GPI, Colombia,Guapi
GPS, Ecuador,Isla Baltra
GPT, Estados Unidos,Gulfport
GRB, Estados Unidos,Green Bay
GRI, Estados Unidos,Grand Island
GRJ, Sudafrica,George
GRK, Estados Unidos,Killeen
GRO, Espana,Gerona
GRQ, Paises Bajos,Groninga
GRR, Estados Unidos,Grand Rapids
GRU, Brasil,Sao Paulo
GRV, Rusia,Grozni
GRW, Portugal,Isla Graciosa
GRX, Espana,Granada
GRY, Islandia,Grimsey
GRZ, Austria,Graz
GSM, Corri,Qeshm
GSO, Estados Unidos,Greensboro
GSP, Estados Unidos,Greenville
GST, Estados Unidos,Gustavus
GSV, Rusia,Saratov
GTE, Australia,Groote Eylandt
GTF, Estados Unidos,Great Falls
GTO, Indonesia,Gorontalo
GTR, Estados Unidos,Columbus
GTS, Australia,The Granites
GTZ, Tanzania,Grumeti Game Reserve
GUA, Guatemala,Guatemala
GUC, Estados Unidos,Gunnison
GUM, Guam,Hagatna
GUO, Somalia,Guri el
GUR, Papua Nueva Guinea,Alotau
GUW, Kazajstan,Atirau
GVA, Suiza,Ginebra
GVN, Rusia,
GVR, Brasil,Governador Valadares
GWD, Pakistan,Gwadar
GWL, India,Gwalior
GWT, Alemania,Westerland
GXF, Yemen,Seiyun
GXH, China,Xiahe
GYA, Bolivia,Guayaramerin
GYD, Azerbaiyan,Baku
GYE, Ecuador,Guayaquil
GYN, Brasil,Goiania
GYS, China,Guangyuan
GYU, China,Guyuan County
GZG, China,Ganzi
GZO, Islas Salomon,Gizo
GZP, pavo,Gazipasa
GZT, pavo,Gaziantep
HAA, Noruega,Hasvik
HAC, Japon,Hachijojima
HAD, Suecia,Halmstad
HAH, Comoras,Moroni
HAJ, Alemania,Hannover
HAK, China,Haikou
HAM, Alemania,Hamburgo
HAN, Vietnam,Hanoi
HAS, Arabia Saudita,Hail
HAU, Noruega,Haugesund
HAV, Cuba,La Habana
HAY, Colombia,Aguachica
HBA, Australia,Hobart
HBE, Egipto,Alejandria
HBQ, China,Qilian
HBX, India,Hubli
HCJ, China,Hechi
HCQ, Australia,Halls Creek
HCR, Estados Unidos,Holy Cross
HCZ, China,
HDF, Alemania,Heringsdorf
HDG, China,Handan
HDN, Estados Unidos,Hayden
HDS, Limpopo,Hoedspruit
HDY, Tailandia,Hat Yai
HEA, Afganistan,Herat
HEH, Myanmar (Burma),Heho
HEK, China,Heihe
HEL, Finlandia,Helsinki
HER, Grecia,Heraclion
HET, China,Hohhot
HFE, China,Hefei
HFN, Islandia,Hofn
HFS, Suecia,Hagfors
HFT, Noruega,Hammerfest
HGA, Somalia,Hargeisa
HGD, Australia,Hughenden
HGH, China,Hangzhou
HGN, Tailandia,Provincia de Mae Hong Son
HGO, Costa de Marfil,Korhogo
HGR, Estados Unidos,Hagerstown
HGU, Papua Nueva Guinea,Mount Hagen
HHH, Estados Unidos,Hilton Head Island
HHN, Alemania,Francfort del Meno
HHQ, Tailandia,Tambon Hua Hin
HHR, Estados Unidos,Hawthorne
HHZ, Polinesia frances,Hikueru
HIA, China,Huai an
HIB, Estados Unidos,Hibbing
HID, Australia,Horn Island
HIJ, Japon,Hiroshima
HIN, Corea del Sur,Jinju
HIR, Islas Salomon,Honiara
HJJ, China,Huaihua
HKB, Estados Unidos,Healy Lake
HKD, Japon,Hakodate
HKG, Hong Kong,Hong Kong
HKK, Nueva Zelanda,Hokitika
HKN, Papua Nueva Guinea,Hoskins
HKR, Kenia,Masai Mara
HKT, Tailandia,Phuket City
HLA, Sudafrica,Johannesburgo
HLD, China,Hailar
HLE, Santa Elena,Jamestown
HLH, China,Ulanhot
HLN, Estados Unidos,Helena
HLP, Indonesia,Yakarta
HLZ, Nueva Zelanda,Hamilton
HMA, Rusia,Janti-Mansisk
HMB, Egipto,Suhag
HME, Argelia,Hassi Messaoud
HMI, China,Kumul
HMO, Mexico,Hermosillo
HMV, Suecia,Hemavan
HNA, Japon,Hanamaki
HND, Japon,Tokio
HNH, Estados Unidos,Hoonah
HNL, Estados Unidos,Honolulu
HNM, Estados Unidos,Hana
HNS, Estados Unidos,Haines
HNY, China,Hengyang
HOB, Estados Unidos,Hobbs
HOF, Arabia Saudita,Hofuf
HOG, Cuba,Holguin
HOI, Polinesia frances,Hao
HOM, Estados Unidos,Homer
HOR, Portugal,Horta
HOT, Estados Unidos,Hot Springs
HOU, Estados Unidos,Houston
HOV, Noruega,Volda
HOX, Myanmar (Burma),Homalin
HPB, Estados Unidos,Hooper Bay
HPG, China,Shennongjia
HPH, Vietnam,Hai Phong
HPN, Estados Unidos,Condado de Westchester
HRB, China,Harbin
HRE, Zimbabue,Harare
HRG, Egipto,Hurgada
HRI, Sri Lanka,Hambantota
HRK, Ucrania,Jarkov
HRL, Estados Unidos,Harlingen
HRO, Estados Unidos,Harrison
HSA, Kazajstan,Turkistan
HSC, China,Shaoguan
HSG, Japon,Saga
HSL, Estados Unidos,Huslia
HSN, China,Zhoushan
HSV, Estados Unidos,Huntsville
HTA, Rusia,Chita
HTG, Rusia,Khatanga
HTI, Australia,Isla Hamilton
HTN, China,Ciudad de Jotan
HTS, Estados Unidos,Huntington
HTT, China,Mangnai
HTY, pavo,Provincia de Hatay
HUH, Polinesia frances,Huahine
HUI, Vietnam,Hue
HUN, Taiwan,Condado de Hualien
HUO, China,Holin Gol
HUS, Estados Unidos,Hughes
HUU, Peru,Huanuco
HUX, Mexico,Santa Maria Huatulco
HUY, Reino Unido,Kirmington
HUZ, China,Huizhou
HVB, Australia,Hervey Bay
HVD, Mongolia,Hovd
HVG, Noruega,Honningsvag
HVN, Estados Unidos,New Haven
HVR, Estados Unidos,Havre
HXD, China,Delingha
HYA, Estados Unidos,Hyannis
HYD, India,Hyderabad
HYG, Estados Unidos,Hydaburg
HYN, China,Taizhou
HYS, Estados Unidos,Hays
HZA, China,Heze
HZG, China,Hanzhong
HZH, China,Liping
HZK, Islandia,Husavik
IAA, Rusia,Igarka
IAD, Estados Unidos,Washington D. C.
IAG, Estados Unidos,Niagara Falls
IAH, Estados Unidos,Houston
IAM, Argelia,In Amenas
IAN, Estados Unidos,Kiana
IAO, Filipinas,Del Carmen
IAR, Rusia,Yaroslavl
IAS, Rumania,Iasi
IBA, Nigeria,Ibadan
IBE, Colombia,Ibague
IBR, Japon,Ibaraki
IBZ, Espana,Ibiza
ICI, Fiji,Cicia
ICN, Corea del Sur,Seul
ICT, Estados Unidos,Wichita
IDA, Estados Unidos,Idaho Falls
IDR, India,Indore
IEG, Polonia,Zielona Gora
IEV, Ucrania,Kiev
IFJ, Islandia,Isafjorur
IFN, Corri,Isfahan
IFO, Ucrania,Ivano-Frankivsk
IGA, Bahamas,Inagua
IGD, pavo,Igdr
IGG, Estados Unidos,Igiugig
IGR, Argentina,Puerto Iguazu
IGT, Rusia,Nazran
IGU, Brasil,Foz do Iguacu
IHR, Corri,Iranshahr
IIL, Corri,Ilam
IJK, Rusia,Izhevsk
IKA, Corri,Teheran
IKE, Groenlandia,Ikerasak
IKI, Japon,Iki
IKS, Rusia,Tiksi
IKT, Rusia,Irkutsk
IKU, Kirguizistan,Tamchy
ILD, Espana,Lerida
ILG, Estados Unidos,Wilmington
ILI, Estados Unidos,Iliamna
ILM, Estados Unidos,Wilmington
ILO, Filipinas,Iloilo
ILP, Nueva Caledonia,Isle of Pines
ILQ, Peru,Ilo
ILR, Nigeria,Ilorin
ILY, Reino Unido,Islay
IMF, India,Imfal
IMK, Nepal,Simikot
IMP, Brasil,Imperatriz
IMT, Estados Unidos,Iron Mountain
INA, Rusia,Inta
INB, Belice,Mango Creek
INC, China,Yinchuan
IND, Estados Unidos,Indianapolis
INF, Argelia,In Guezzam
INH, Mozambique,Inhambane
INI, Serbia,Nis
INL, Estados Unidos,International Falls
INN, Austria,Innsbruck
INU, Nauru,Yaren
INV, Reino Unido,Inverness
INZ, Argelia,In Salah
IOA, Grecia,Ioanina
IOM, Isla del hombre,Douglas
IOQ, Groenlandia,Isertoq
IOS, Brasil,Ilheus
IPA, Vanuatu,Ipota
IPC, Chile,Isla de Pascua
IPH, Malasia,Ipoh
IPI, Colombia,Ipiales
IPL, Estados Unidos,El Centro
IPN, Brasil,Ipatinga
IQA, Irak,Al Asad
IQM, China,Qiemo
IQN, China,Qingyang
IQQ, Chile,Iquique
IQT, Peru,Iquitos
IRA, Islas Salomon,Kirakira
IRG, Australia,Lockhart River
IRI, Tanzania,Nduli
IRJ, Argentina,La Rioja
IRK, Estados Unidos,Kirksville
IRM, Rusia,Igrim
IRP, Republica Democratica del Congo,Isiro
ISA, Australia,Mount Isa
ISB, Pakistan,Islamabad
ISC, Reino Unido,St Mary's
ISE, pavo,Isparta
ISG, Japon,Ishigaki
ISK, India,Nashik
ISP, Estados Unidos,Islip
IST, pavo,Estambul
ISU, Irak,Solimania
ITB, Brasil,Itaituba
ITH, Estados Unidos,Ithaca
ITM, Japon,Osaka
ITO, Estados Unidos,Hilo
ITU, Rusia,Iturup
IUE, Niue,Alofi
IUI, Groenlandia,Innaarsuit
IVC, Nueva Zelanda,Invercargill
IVL, Finlandia,Ivalo
IVR, Australia,Inverell
IWA, Rusia,Ivanovo
IWD, Estados Unidos,Ironwood
IWJ, Japon,Masuda
IWK, Japon,Iwakuni
IXA, India,Agartala
IXB, India,Bagdogra
IXC, India,Chandigarh
IXD, India,Allahabad
IXE, India,Mangalore
IXG, India,Belgaum
IXI, India,Distrito de Lakhimpur
IXJ, India,Jammu
IXK, India,Junagadh / Veraval
IXL, India,Leh
IXM, India,Madurai
IXP, India,Pathankot
IXR, India,Ranchi
IXS, India,Silchar
IXT, India,Pasighat
IXU, India,Aurangabad
IXX, India,Bidar
IXY, India,Kandla
IXZ, India,Port Blair
IZA, Brasil,Juiz de Fora
IZO, Japon,Izumo
IZT, Mexico,Ciudad Ixtepec
JAC, Estados Unidos,Jackson
JAE, Peru,Jaen
JAF, Sri Lanka,Jaffna
JAI, India,Jaipur
JAN, Estados Unidos,Jackson
JAR, Corri,Jahrom
JAU, Peru,Jauja
JAV, Groenlandia,Ilulissat
JAX, Estados Unidos,Jacksonville
JBQ, Republica Dominicana,Santo Domingo
JBR, Estados Unidos,Jonesboro
JBS, Brasil,Sao Borja
JCH, Groenlandia,Qasigiannguit
JCK, Australia,Julia Creek
JCU, Espana,Ceuta
JDH, India,Jodhpur
JDO, Brasil,Juazeiro do Norte
JDZ, China,Jingdezhen
JED, Arabia Saudita,Yeda
JEE, Haiti,Jeremie
JEG, Groenlandia,Aasiaat
JEK, Zambia,Lower Zambezi National Park
JER, Jersey,Saint Helier
JFK, Estados Unidos,Nueva York
JFR, Groenlandia,Paamiut
JGA, India,Jamnagar
JGB, India,Jagdalpur
JGD, China,Jiagedaqi
JGN, China,Jiayuguan
JGO, Groenlandia,Qeqertarsuaq
JGS, China,Ji an
JHB, Malasia,Johor Bahru
JHG, China,Jinghong
JHM, Estados Unidos,Kapalua
JHS, Groenlandia,Sisimiut
JIA, Brasil,Juina
JIB, Djibouti,Balbala
JIC, China,Jinchang
JIJ, Etiopia,Jijiga
JIK, Grecia,Icaria
JIM, Etiopia,Jima
JIN, Uganda,Jinja
JIQ, China,Distrito de Qianjiang
JIU, China,Jiujiang
JJD, Brasil,Cruz
JJG, Brasil,Jaguaruna
JJN, China,Quanzhou
JJU, Groenlandia,Qaqortoq
JKH, Grecia,Chios
JKL, Grecia,Kalimnos
JKR, Nepal,Janakpur
JLN, Estados Unidos,Joplin
JLR, India,Jabalpur
JMJ, China,Lancang Lahu Autonomous County
JMK, Grecia,Miconos
JMO, Nepal,Jomsom
JMS, Estados Unidos,Jamestown
JMU, China,Jiamusi
JNB, Sudafrica,Johannesburgo
JNG, China,Jining
JNN, Groenlandia,Nanortalik
JNS, Groenlandia,Narsaq
JNU, Estados Unidos,Juneau
JNX, Grecia,Naxos
JNZ, China,Jinzhou
JOE, Finlandia,Joensuu
JOG, Indonesia,Yogyakarta
JOI, Brasil,Joinville
JOS, Nigeria,Jos
JPA, Brasil,Joao Pessoa
JPE, Brasil,
JPO, Brasil,Patos
JPR, Brasil,Ji-Parana
JQA, Groenlandia,Qaarsut
JRG, India,Jharsuguda
JRH, India,Jorhat
JRO, Tanzania,Mount Kilimanjaro
JRT, Brasil,Juruti
JSA, India,Jaisalmer
JSH, Grecia,Sitia
JSI, Grecia,Sciathos
JSJ, China,Jiansanjiang
JSR, Bangladesh,Jessore
JST, Estados Unidos,Johnstown
JSU, Groenlandia,Maniitsoq
JSY, Grecia,Siros
JTC, Brasil,Bauru
JTR, Grecia,Santorini
JTY, Grecia,Astypalaia
JUB, Sudan del Sur,Yuba
JUH, China,Chizhou
JUJ, Argentina,San Salvador de Jujuy
JUK, Groenlandia,Ukkusissat
JUL, Peru,Juliaca
JUM, Nepal,Jumla
JUV, Groenlandia,Upernavik
JUZ, China,Quzhou
JXA, China,Jixi
JYR, Corri,Jiroft
JYV, Finlandia,Jyvaskyla
JZH, China,Jiuzhaigou County
KAD, Nigeria,Kaduna
KAE, Estados Unidos,Kake
KAJ, Finlandia,Kajaani
KAL, Estados Unidos,Kaltag
KAN, Nigeria,Kano
KAO, Finlandia,Kuusamo
KAW, Myanmar (Burma),Kawthaung Township
KBC, Estados Unidos,Birch Creek
KBH, Tanzania,Kahama
KBK, India,
KBL, Afganistan,Kabul
KBP, Ucrania,Kiev
KBR, Malasia,Kota Bharu
KBU, Indonesia,Kotabaru Regency
KBV, Tailandia,Krabi
KCA, China,Kuqa County
KCC, Estados Unidos,Coffman Cove
KCH, Malasia,Kuching
KCK, Rusia,Kirensk
KCM, pavo,Kahramanmaras
KCO, pavo,Kocaeli
KCT, Sri Lanka,Koggala
KCZ, Japon,Kochi
KDH, Afganistan,Kandahar
KDI, Indonesia,Kendari
KDL, Estonia,Kardla
KDU, Pakistan,Skardu
KDV, Fiji,Kadavu Island
KEB, Estados Unidos,Nanwalek
KEF, Islandia,Reikiavik
KEJ, Rusia,Kemerovo
KEK, Estados Unidos,Ekwok
KEM, Finlandia,Kemi
KEO, Costa de Marfil,Odienne
KEP, Nepal,Nepalgunj
KER, Corri,Kerman
KET, Myanmar (Burma),Kengtung
KEU, Kenia,Masai Mara
KEW, Canada,Keewaywin
KFS, pavo,Kastamonu
KGA, Republica Democratica del Congo,Kananga
KGC, Australia,Kingscote
KGD, Rusia,Kaliningrado
KGE, Islas Salomon,Kaghau Island
KGF, Kazajstan,Karaganda
KGI, Australia,Kalgoorlie
KGK, Estados Unidos,Koliganek
KGL, Ruanda,Kigali
KGP, Rusia,Kogalym
KGQ, Groenlandia,Kangersuatsiaq
KGS, Grecia,Isla de Cos
KGT, China,Kangding
KGX, Estados Unidos,Grayling
KHD, Corri,Khorramabad
KHE, Ucrania,Jerson
KHG, China,Kasgar
KHH, Taiwan,Kaohsiung
KHI, Pakistan,Karachi
KHK, Corri,Kharg
KHM, Myanmar (Burma),Khamti
KHN, China,Nanchang
KHQ, Groenlandia,Kullorsuaq
KHS, Oman,Jasab
KHV, Rusia,Jabarovsk
KHX, Uganda,Kihihi
KHY, Corri,Khoy
KHZ, Polinesia frances,Kauehi
KIE, Papua Nueva Guinea,Kieta
KIF, Canada,Kingfisher Lake
KIH, Corri,Kish Island
KIJ, Japon,Niigata
KIM, Sudafrica,Kimberley
KIN, Jamaica,Kingston
KIO, Islas Marshall,Kili Island
KIR, Irlanda,Condado de Kerry
KIS, Kenia,Kisumu
KIT, Grecia,Kythira
KIV, Moldavia,Chisinau
KIX, Japon,Osaka
KJA, Rusia,Krasnoyarsk
KJB, India,Kurnool
KJH, China,Huangping County
KJI, China,Burqin
KKA, Estados Unidos,Koyuk
KKB, Estados Unidos,Kitoi Bay
KKC, Tailandia,Khon Kaen
KKE, Nueva Zelanda,Kerikeri
KKH, Estados Unidos,Kongiganak
KKI, Estados Unidos,Akiachak
KKJ, Japon,Kitakyushu
KKN, Noruega,Kirkenes
KKR, Polinesia frances,Kaukura
KKS, Corri,Kashan
KKX, Japon,Kikaiga Shima
KLB, Zambia,Kalabo District
KLF, Rusia,Kaluga
KLG, Estados Unidos,Upper Kalskag
KLH, India,Kolhapur
KLN, Estados Unidos,Larsen Bay
KLO, Filipinas,Kalibo
KLR, Suecia,Kalmar
KLU, Austria,Klagenfurt
KLW, Estados Unidos,Klawock
KLX, Grecia,Kalamata
KME, Ruanda,Cyangugu
KMG, China,Kunming
KMI, Japon,Miyazaki
KMJ, Japon,Kumamoto
KMO, Estados Unidos,Manokotak
KMQ, Japon,Komatsu
KMS, Ghana,Kumasi
KMU, Somalia,Kismayo
KMV, Myanmar (Burma),Kalay
KMY, Estados Unidos,Moser Bay
KND, Republica Democratica del Congo,Kindu
KNG, Indonesia,Kaimana
KNH, Taiwan,Kinmen
KNK, Estados Unidos,Kakhonak
KNO, Indonesia,Medan
KNQ, Nueva Caledonia,Kone
KNS, Australia,Isla King
KNU, India,Kanpur
KNW, Estados Unidos,New Stuyahok
KNX, Australia,Kununurra
KOA, Estados Unidos,Kailua
KOC, Nueva Caledonia,Koumac
KOE, Indonesia,Kupang
KOI, Reino Unido,Kirkwall
KOJ, Japon,Kagoshima
KOK, Finlandia,Kokkola
KOP, Tailandia,Provincia de Nakhon Phanom
KOS, Camboya,Ciudad de Sihanoukville
KOV, Kazajstan,Kokshetau
KOW, China,Ganzhou
KOY, Estados Unidos,Olga Bay
KOZ, Estados Unidos,Ouzinkie
KPB, Estados Unidos,Point Baker
KPN, Estados Unidos,Kipnuk
KPO, Corea del Sur,Pohang
KPR, Estados Unidos,Port Williams
KPV, Estados Unidos,Perryville
KPW, Rusia,Keperveyem
KPY, Estados Unidos,Port Bailey
KQH, India,Kishangarh
KQT, Tayikistan,Qurghonteppa
KRF, Suecia,Kramfors / Solleftea
KRK, Polonia,Cracovia
KRL, China,Korla
KRN, Suecia,Kiruna
KRO, Rusia,Kurgan
KRP, Dinamarca,Karup
KRR, Rusia,Krasnodar
KRS, Noruega,Kristiansand
KRT, Sudan,Jartum
KRW, Turkmenistan,Turkmenbashi
KRY, China,Karamay
KSA, micronesia,Kosrae
KSC, Eslovaquia,Kosice
KSE, Uganda,Kasese
KSF, Alemania,Kassel
KSH, Corri,Kermanshah
KSJ, Grecia,Kasos
KSL, Sudan,Kassala
KSM, Estados Unidos,St. Mary s
KSN, Kazajstan,Kostanay
KSO, Grecia,Kastoria
KSQ, Uzbekistan,Qarshi
KSU, Noruega,Kristiansund
KSY, pavo,Kars
KTA, Australia,Karratha
KTB, Estados Unidos,Thorne Bay
KTG, Indonesia,Ketapang
KTJ, Kenia,Masai Mara
KTM, Nepal,Katmandu
KTN, Estados Unidos,Ketchikan
KTR, Australia,Katherine
KTS, Estados Unidos,Brevig Mission
KTT, Finlandia,Kittila
KTW, Polonia,Katowice
KUA, Malasia,Kuantan
KUC, Kiribati,Kuria
KUD, Malasia,Kudat
KUF, Rusia,Samara
KUG, Australia,Moa Island
KUH, Japon,Kushiro
KUK, Estados Unidos,Kasigluk
KUL, Malasia,Kuala Lumpur
KUM, Japon,Yakushima
KUN, Lituania,Kaunas
KUO, Finlandia,Kuopio
KUS, Groenlandia,Kulusuk
KUT, Georgia,Kutaisi
KUU, India,Kullu
KUV, Corea del Sur,Gunsan
KUZ, Groenlandia,Kuummiit
KVA, Grecia,Kavala
KVG, Papua Nueva Guinea,Kavieng
KVK, Rusia,Kirovsk
KVL, Estados Unidos,Kivalina
KVO, Serbia,Kraljevo
KVR, Rusia,Kavalerovo
KVX, Rusia,Kirov
KWA, Islas Marshall,Kwajalein Atoll
KWE, China,Guiyang
KWF, Alaska,Waterfall
KWI, Kuwait,Kuwait City
KWJ, Corea del Sur,Gwangju
KWK, Estados Unidos,Kwigillingok
KWL, China,Guilin
KWM, Australia,Kowanyama
KWN, Estados Unidos,Quinhagak
KWP, Estados Unidos,West Point
KWT, Estados Unidos,Kwethluk
KXA, Estados Unidos,Kasaan
KXB, Indonesia,Kolaka
KXF, Fiji,Koro Island
KXK, Rusia,Komsomolsk del Amur
KXU, Polinesia frances,Katiu
KYA, pavo,Konya
KYK, Estados Unidos,Karluk
KYP, Myanmar (Burma),Kyaukpyu
KYU, Estados Unidos,Koyukuk
KYZ, Rusia,Kizil
KZB, Estados Unidos,Zachar Bay
KZI, Grecia,Kozani
KZN, Rusia,Kazan
KZO, Kazajstan,Kyzylorda
KZR, pavo,Kutahya
KZS, Grecia,Kastellorizo
LAD, Angola,Luanda
LAE, Papua Nueva Guinea,Lae
LAK, Canada,Aklavik
LAN, Estados Unidos,Lansing
LAO, Filipinas,Laoag
LAP, Mexico,La Paz
